"Labor force participation rate by sex, race and Hispanic ethnicity, 2020 annual averages and 2029 projections",,
"Sex, race and Hispanic ethnicity",2020 labor force participation rate (percent),Projected 2029 labor force participation rate (percent)
Women,,
Total,56.2,56.6
White,55.7,55.6
Black,58.8,59.7
All other groups,56.8,58.8
Hispanic,56.4,57.7
Men,,
Total,67.7,66.1
White,68.2,66.3
Black,62.6,61.6
All other groups,69.5,69.5
Hispanic,74.9,73.1
"Notes: Represents the percentage of persons in the civilian noninstitutional population 16 years of age and older that are employed or actively looking for work. The ""All other groups"" category includes persons of two or more races and the race categories of Asian; American Indian and Alaska Native; and Native Hawaiian and Other Pacific Islanders. Hispanics may be of any race.",,
"Source: 2020 Current Population Survey and 2029 Employment Projections, U.S. Bureau of Labor Statistics",,
