incident_name,incident_is_final,incident_date_last_update,Month,Year,incident_counties,incident_county,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,State
 Bridge Fire,TRUE,2018-01-09T13:46:00Z,10,2017,Shasta,Shasta,37,100,, Shasta-Trinity National Forest ,-122.309,40.774,,2ca11d45-8139-4c16-8af0-880d99b21e82,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/,2018-01-09T13:46:00Z,09/01/18,31/10/17,N,FALSE,FALSE,CA
Pala Fire,TRUE,2020-09-16T14:07:35Z,5,2009,San Diego,San Diego,122,100,,CAL FIRE San Diego Unit,1,1,Wildfire,8f61f461-552d-4538-b186-35ab030da416,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/,2009-05-25T00:00:00Z,25/05/09,24/05/09,N,TRUE,FALSE,CA
River Fire,TRUE,2013-02-28T20:00:00Z,2,2013,Inyo,Inyo,406,100,,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",-118.01651,36.602575,,094719ba-a47b-4abb-9ec5-a506b2b9fd23,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/,2013-02-28T20:00:00Z,28/02/13,24/02/13,N,TRUE,FALSE,CA
Fawnskin Fire,TRUE,2013-04-22T09:00:00Z,4,2013,San Bernardino,San Bernardino,30,100,,San Bernardino National Forest,-116.941311,34.288877,,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,https://www.fire.ca.gov/incidents/2013/4/20/fawnskin-fire/,2013-04-22T09:00:00Z,22/04/13,20/04/13,N,FALSE,FALSE,CA
Gold Fire,TRUE,2013-05-01T07:00:00Z,4,2013,Madera,Madera,274,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,,357ffc13-bef9-48eb-810f-c5de851972eb,https://www.fire.ca.gov/incidents/2013/4/30/gold-fire/,2013-05-01T07:00:00Z,01/05/13,30/04/13,N,TRUE,FALSE,CA
Panther Fire,TRUE,2013-05-09T09:00:00Z,5,2013,Tehama,Tehama,6965,100,,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",-121.595555,40.190062,,53122f0f-fefc-4dbf-b2d8-566b42ced66d,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/,2013-05-09T09:00:00Z,09/05/13,01/05/13,N,TRUE,FALSE,CA
Silverado Fire,TRUE,2013-05-01T17:15:00Z,4,2013,Napa,Napa,75,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,,d8d1c943-7b5d-4885-9043-f41075d6eded,https://www.fire.ca.gov/incidents/2013/4/30/silverado-fire/,2013-05-01T17:15:00Z,01/05/13,30/04/13,N,TRUE,FALSE,CA
Yellow Fire,TRUE,2013-05-03T06:15:00Z,5,2013,Sonoma,Sonoma,125,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828,,64e4f81e-d872-44c4-ba8d-111fa77124ba,https://www.fire.ca.gov/incidents/2013/5/1/yellow-fire/,2013-05-03T06:15:00Z,03/05/13,01/05/13,N,TRUE,FALSE,CA
Summit Fire,TRUE,2013-05-04T18:30:00Z,5,2013,Riverside,Riverside,3166,100,,CAL FIRE/Riverside County Fire ,-116.941311,34.288877,,a1b14be5-a8cf-4e40-8588-96becf4c5879,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/,2013-05-04T18:30:00Z,04/05/13,01/05/13,N,TRUE,FALSE,CA
Tres Pinos Fire,TRUE,2013-05-03T18:45:00Z,5,2013,San Benito,San Benito,354,100,,CAL FIRE San Benito-Monterey ,-120.937494,37.160346,,ca68f3c4-4906-4952-b794-4531d7da8369,https://www.fire.ca.gov/incidents/2013/5/3/tres-pinos-fire/,2013-05-03T18:45:00Z,03/05/13,03/05/13,N,TRUE,FALSE,CA
