"","Provider.State","County","Number_of_Available_Beds_by_County","Number.of.Ventilators.in.Facility_1","Number.of.Ventilators.in.Use.for.COVID.19_1","Ratio_of_available_vt"
"1","AK","Anchorage",1749,NA,NA,NA
"2","AK","Bethel",107,NA,NA,NA
"3","AK","Cordova-Mccarthy",5,NA,NA,NA
"4","AK","Fairbanks",816,NA,NA,NA
"5","AK","Juneau",252,NA,NA,NA
"6","AK","Kenai-Cook Inlet",899,NA,NA,NA
"7","AK","Ketchikan",348,NA,NA,NA
"8","AK","Kodiak Island Borough",21,NA,NA,NA
"9","AK","Matanuska-Susitna",1902,NA,NA,NA
"10","AK","Nome",69,NA,NA,NA
"11","AK","Not Available",54,NA,NA,NA
"12","AK","Seward",404,NA,NA,NA
"13","AK","Sitka",27,NA,NA,NA
"14","AK","Valdez-Chitina-Whittier",58,NA,NA,NA
"15","AK","Wrangell-Petersburg",352,NA,NA,NA
"16","AL","Autauga",1742,NA,NA,NA
"17","AL","Baldwin",11037,516,12,0.023
"18","AL","Barbour",1651,NA,NA,NA
"19","AL","Bibb",1221,NA,NA,NA
"20","AL","Blount",1944,NA,NA,NA
"21","AL","Bullock",1453,NA,NA,NA
"22","AL","Butler",2667,NA,NA,NA
"23","AL","Calhoun",6737,NA,NA,NA
"24","AL","Chambers",2904,NA,NA,NA
"25","AL","Cherokee",1728,NA,NA,NA
"26","AL","Chilton",3955,NA,NA,NA
"27","AL","Choctaw",2898,NA,NA,NA
"28","AL","Clarke",1578,NA,NA,NA
"29","AL","Clay",1645,NA,NA,NA
"30","AL","Cleburne",645,NA,NA,NA
"31","AL","Coffee",4744,NA,NA,NA
"32","AL","Colbert",4317,NA,NA,NA
"33","AL","Conecuh",373,NA,NA,NA
"34","AL","Coosa",655,NA,NA,NA
"35","AL","Covington",5545,NA,NA,NA
"36","AL","Crenshaw",1143,NA,NA,NA
"37","AL","Cullman",5718,NA,NA,NA
"38","AL","Dale",2835,NA,NA,NA
"39","AL","Dallas",3993,NA,NA,NA
"40","AL","DeKalb",4372,NA,NA,NA
"41","AL","Elmore",4743,NA,NA,NA
"42","AL","Escambia",2186,NA,NA,NA
"43","AL","Etowah",11406,NA,NA,NA
"44","AL","Fayette",1262,NA,NA,NA
"45","AL","Franklin",2592,NA,NA,NA
"46","AL","Geneva",1146,NA,NA,NA
"47","AL","Greene",1505,25,11,0.44
"48","AL","Hale",1827,NA,NA,NA
"49","AL","Henry",2576,NA,NA,NA
"50","AL","Houston",4160,NA,NA,NA
"51","AL","Jackson",2676,NA,NA,NA
"52","AL","Jefferson",38335,559,7,0.013
"53","AL","Lamar",2512,NA,NA,NA
"54","AL","Lauderdale",5483,NA,NA,NA
"55","AL","Lawrence",1091,NA,NA,NA
"56","AL","Lee",6165,NA,NA,NA
"57","AL","Limestone",3432,NA,NA,NA
"58","AL","Lowndes",845,NA,NA,NA
"59","AL","Macon",1253,NA,NA,NA
"60","AL","Madison",11780,NA,NA,NA
"61","AL","Marengo",1538,NA,NA,NA
"62","AL","Marion",2516,NA,NA,NA
"63","AL","Marshall",2814,NA,NA,NA
"64","AL","Mobile",27124,NA,NA,NA
"65","AL","Monroe",1403,NA,NA,NA
"66","AL","Montgomery",17487,NA,NA,NA
"67","AL","Morgan",7777,NA,NA,NA
"68","AL","Perry",565,NA,NA,NA
"69","AL","Pickens",2389,NA,NA,NA
"70","AL","Pike",4372,NA,NA,NA
"71","AL","Randolph",2568,NA,NA,NA
"72","AL","Russell",2590,NA,NA,NA
"73","AL","Shelby",3951,NA,NA,NA
"74","AL","St. Clair",4589,NA,NA,NA
"75","AL","Sumter",1887,NA,NA,NA
"76","AL","Talladega",3775,NA,NA,NA
"77","AL","Tallapoosa",3812,NA,NA,NA
"78","AL","Tuscaloosa",9543,NA,NA,NA
"79","AL","Walker",5447,NA,NA,NA
"80","AL","Washington",503,NA,NA,NA
"81","AL","Wilcox",1888,NA,NA,NA
"82","AL","Winston",2786,NA,NA,NA
"83","AR","Arkansas",4162,NA,NA,NA
"84","AR","Ashley",2594,NA,NA,NA
"85","AR","Baxter",9263,NA,NA,NA
"86","AR","Benton",17667,NA,NA,NA
"87","AR","Boone",4778,NA,NA,NA
"88","AR","Bradley",2910,NA,NA,NA
"89","AR","Carroll",3094,NA,NA,NA
"90","AR","Chicot",3809,NA,NA,NA
"91","AR","Clark",2595,NA,NA,NA
"92","AR","Clay",5945,NA,NA,NA
"93","AR","Cleburne",3490,NA,NA,NA
"94","AR","Cleveland",278,NA,NA,NA
"95","AR","Columbia",6660,NA,NA,NA
"96","AR","Conway",4605,NA,NA,NA
"97","AR","Craighead",8484,NA,NA,NA
"98","AR","Crawford",5563,NA,NA,NA
"99","AR","Crittenden",4275,NA,NA,NA
"100","AR","Cross",4422,NA,NA,NA
"101","AR","Dallas",3226,NA,NA,NA
"102","AR","Desha",3445,NA,NA,NA
"103","AR","Drew",3684,NA,NA,NA
"104","AR","Faulkner",8819,NA,NA,NA
"105","AR","Franklin",2709,NA,NA,NA
"106","AR","Fulton",686,NA,NA,NA
"107","AR","Garland",14073,NA,NA,NA
"108","AR","Grant",2513,NA,NA,NA
"109","AR","Greene",3867,NA,NA,NA
"110","AR","Hempstead",1543,NA,NA,NA
"111","AR","Hot Spring",4297,NA,NA,NA
"112","AR","Howard",2761,NA,NA,NA
