"","Provider.State","County","Provider.Name","Number_of_Available_Beds_by_Provider","Number.of.Ventilators.in.Facility_1","Number.of.Ventilators.in.Use.for.COVID.19_1","Ratio_of_available_vt"
"1","AK","Anchorage","PRESTIGE CARE & REHAB CENTER OF ANCHORAGE",518,NA,NA,NA
"2","AK","Anchorage","PROVIDENCE EXTENDED CARE",190,NA,NA,NA
"3","AK","Anchorage","PROVIDENCE TRANSITIONAL CARE CENTER",1041,NA,NA,NA
"4","AK","Bethel","YUKON KUSKOKWIM ELDER'S HOME",107,NA,NA,NA
"5","AK","Cordova-Mccarthy","CORDOVA COMMUNITY MED LTC",5,NA,NA,NA
"6","AK","Fairbanks","DENALI CENTER",816,NA,NA,NA
"7","AK","Juneau","WILDFLOWER COURT",252,NA,NA,NA
"8","AK","Kenai-Cook Inlet","HERITAGE PLACE",484,NA,NA,NA
"9","AK","Kenai-Cook Inlet","SOUTH PENINSULA HOSPITAL LTC",415,NA,NA,NA
"10","AK","Ketchikan","KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE",348,NA,NA,NA
"11","AK","Kodiak Island Borough","PROVIDENCE KODIAK ISLAND MED LTC",21,NA,NA,NA
"12","AK","Matanuska-Susitna","MAPLE SPRINGS OF PALMER",1642,NA,NA,NA
"13","AK","Matanuska-Susitna","MAPLE SPRINGS OF WASILLA",260,NA,NA,NA
"14","AK","Nome","QUYANNA CARE CENTER",69,NA,NA,NA
"15","AK","Not Available","UTUQQANAAT INAAT",54,NA,NA,NA
"16","AK","Seward","PROVIDENCE SEWARD MED & CARE CENTER LTC",404,NA,NA,NA
"17","AK","Sitka","SEARHC SITKA LONG TERM CARE",27,NA,NA,NA
"18","AK","Valdez-Chitina-Whittier","PROVIDENCE VALDEZ MEDICAL CENTER",58,NA,NA,NA
"19","AK","Wrangell-Petersburg","PETERSBURG MEDICAL CENTER LTC",298,NA,NA,NA
"20","AK","Wrangell-Petersburg","WRANGELL MEDICAL CENTER LTC",54,NA,NA,NA
"21","AL","Autauga","PRATTVILLE HEALTH AND REHABILITATION, LLC",1742,NA,NA,NA
"22","AL","Baldwin","DIVERSICARE OF FOLEY",2343,NA,NA,NA
"23","AL","Baldwin","EASTERN SHORE REHABILITATION AND HEALTH CENTER",1892,NA,NA,NA
"24","AL","Baldwin","FAIRHOPE HEALTH & REHAB",2654,NA,NA,NA
"25","AL","Baldwin","MONTROSE BAY HEALTH AND REHAB",1032,NA,NA,NA
"26","AL","Baldwin","OAKWOOD-NORTH BALDWIN'S CENTER FOR LIVING",489,NA,NA,NA
"27","AL","Baldwin","ROBERTSDALE REHABILITATION & HEALTHCARE CTR",1789,516,12,0.023
"28","AL","Baldwin","WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG",838,NA,NA,NA
"29","AL","Barbour","CROWNE HEALTH CARE OF EUFAULA",1651,NA,NA,NA
"30","AL","Bibb","BIBB MED CENTER NURSING HOME",1221,NA,NA,NA
"31","AL","Blount","DIVERSICARE OF ONEONTA",824,NA,NA,NA
"32","AL","Blount","TLC NURSING CENTER",1120,NA,NA,NA
"33","AL","Bullock","SOUTHERN SPRINGS HEALTHCARE FACILITY",1453,NA,NA,NA
"34","AL","Butler","CROWNE HEALTH CARE OF GREENVILLE",2242,NA,NA,NA
"35","AL","Butler","GEORGIANA HEALTH AND REHABILITATION, LLC",425,NA,NA,NA
"36","AL","Calhoun","ANNISTON HEALTH AND REHAB SERVICES",1134,NA,NA,NA
"37","AL","Calhoun","DIVERSICARE OF OXFORD",2278,NA,NA,NA
"38","AL","Calhoun","JACKSONVILLE HEALTH AND REHABILITATION, LLC",770,NA,NA,NA
"39","AL","Calhoun","NHC HEALTHCARE, ANNISTON",1547,NA,NA,NA
"40","AL","Calhoun","PIEDMONT HEALTH CARE CENTER",1008,NA,NA,NA
"41","AL","Chambers","DIVERSICARE OF LANETT",617,NA,NA,NA
"42","AL","Chambers","EAMC LANIER NURSING HOME",879,NA,NA,NA
"43","AL","Chambers","LAFAYETTE EXTENDED CARE",647,NA,NA,NA
"44","AL","Chambers","LAFAYETTE NURSING HOME",761,NA,NA,NA
"45","AL","Cherokee","CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER",1728,NA,NA,NA
"46","AL","Chilton","HATLEY HEALTH CARE INC",3955,NA,NA,NA
"47","AL","Choctaw","CHOCTAW HEALTH AND REHAB",2898,NA,NA,NA
