"","Provider.State","County","WeeksofShortage_of_EP_by_County","WeeksofShortage_of_GL_by_County","WeeksofShortage_of_HS_by_County","WeeksofShortage_of_N95_by_County","WeeksofShortage_of_SM_by_County","WeeksofShortage_of_VT_by_County"
"1","AK","Kenai-Cook Inlet",1,1,1,21,1,NA
"2","AK","Matanuska-Susitna",1,1,1,1,1,NA
"3","AK","Seward",3,5,4,22,4,NA
"4","AL","Baldwin",26,17,12,50,25,NA
"5","AL","Barbour",42,22,42,42,42,NA
"6","AL","Bibb",13,9,4,11,3,NA
"7","AL","Bullock",1,1,1,1,2,NA
"8","AL","Butler",2,1,1,6,1,NA
"9","AL","Chambers",6,1,2,25,30,NA
"10","AL","Chilton",3,3,3,17,3,NA
"11","AL","Clarke",35,1,7,35,34,NA
"12","AL","Clay",2,NA,NA,16,NA,NA
"13","AL","Coffee",9,11,9,11,9,NA
"14","AL","Colbert",60,2,2,84,61,NA
"15","AL","Conecuh",14,15,12,17,15,NA
"16","AL","Coosa",1,1,1,3,1,NA
"17","AL","Cullman",2,NA,NA,9,NA,NA
"18","AL","DeKalb",9,2,2,26,21,NA
"19","AL","Elmore",22,4,3,43,23,NA
"20","AL","Escambia",47,1,1,57,49,NA
"21","AL","Etowah",1,1,2,13,4,NA
"22","AL","Fayette",17,NA,2,33,33,NA
"23","AL","Franklin",29,13,26,71,30,NA
"24","AL","Geneva",8,1,1,12,10,NA
"25","AL","Hale",30,28,24,54,29,NA
"26","AL","Henry",1,1,1,1,1,NA
"27","AL","Houston",1,NA,NA,NA,NA,NA
"28","AL","Jackson",18,32,8,37,11,NA
"29","AL","Jefferson",78,35,33,219,64,NA
"30","AL","Lauderdale",59,19,23,87,34,NA
"31","AL","Lee",47,11,22,52,25,NA
"32","AL","Limestone",3,NA,NA,13,2,NA
"33","AL","Lowndes",15,14,16,18,16,NA
"34","AL","Madison",39,17,35,71,59,NA
"35","AL","Mobile",47,59,34,151,100,NA
"36","AL","Monroe",11,18,17,12,12,NA
"37","AL","Montgomery",13,13,9,35,17,NA
"38","AL","Morgan",29,6,1,34,27,NA
"39","AL","Perry",19,17,24,19,18,NA
"40","AL","Pike",10,8,9,11,10,NA
"41","AL","Randolph",21,1,15,34,23,NA
"42","AL","Russell",24,1,7,28,34,NA
"43","AL","Shelby",1,1,2,1,1,NA
"44","AL","St. Clair",1,1,1,10,2,NA
"45","AL","Talladega",7,1,2,7,7,NA
"46","AL","Tallapoosa",2,3,2,4,5,NA
"47","AL","Tuscaloosa",1,5,NA,65,4,NA
"48","AL","Washington",11,2,2,11,2,NA
"49","AL","Wilcox",3,2,2,13,2,NA
"50","AL","Winston",7,NA,NA,19,7,NA
"51","AR","Ashley",1,4,2,1,1,NA
"52","AR","Benton",2,5,3,17,2,NA
"53","AR","Boone",8,24,24,11,21,NA
"54","AR","Carroll",2,1,1,1,1,NA
"55","AR","Chicot",14,11,12,14,14,NA
"56","AR","Clay",1,1,1,4,3,NA
"57","AR","Conway",4,1,1,9,2,NA
"58","AR","Crawford",15,6,1,29,17,NA
"59","AR","Cross",2,2,NA,6,6,NA
"60","AR","Desha",1,1,1,1,1,NA
"61","AR","Drew",8,2,NA,9,NA,NA
"62","AR","Faulkner",7,1,NA,22,15,NA
"63","AR","Franklin",3,1,1,13,14,NA
"64","AR","Garland",3,5,2,12,5,NA
"65","AR","Hempstead",1,1,1,1,1,NA
"66","AR","Hot Spring",3,1,NA,37,2,NA
"67","AR","Izard",1,NA,NA,1,NA,NA
"68","AR","Jefferson",44,45,41,41,43,NA
"69","AR","Lawrence",1,NA,5,NA,NA,NA
"70","AR","Lonoke",6,4,1,5,4,NA
"71","AR","Mississippi",2,2,2,2,3,NA
"72","AR","Monroe",3,3,NA,15,NA,NA
"73","AR","Montgomery",1,1,1,1,1,NA
"74","AR","Phillips",4,3,5,3,2,NA
"75","AR","Pike",1,NA,NA,NA,NA,NA
"76","AR","Poinsett",2,NA,NA,NA,NA,NA
"77","AR","Prairie",8,1,2,15,13,NA
"78","AR","Pulaski",28,18,17,69,16,NA
"79","AR","Randolph",2,NA,NA,4,3,NA
"80","AR","Saline",9,1,2,28,19,NA
"81","AR","Searcy",1,3,NA,9,2,NA
"82","AR","Sebastian",6,1,1,35,7,NA
"83","AR","Sevier",1,1,1,5,1,NA
"84","AR","Sharp",4,NA,NA,9,3,NA
"85","AR","Van Buren",6,1,10,NA,11,NA
"86","AR","Yell",2,2,3,5,2,NA
"87","AZ","Apache",1,1,NA,NA,NA,NA
"88","AZ","Cochise",1,2,17,16,NA,NA
"89","AZ","Coconino",1,1,1,1,1,NA
"90","AZ","Gila",32,32,34,41,34,NA
"91","AZ","Maricopa",336,169,131,578,278,2
"92","AZ","Pima",92,49,43,93,70,11
"93","AZ","Yavapai",2,4,3,39,34,NA
"94","CA","Alameda",144,169,163,226,149,7
"95","CA","Butte",6,6,1,13,4,NA
"96","CA","Contra Costa",106,101,105,140,89,3
"97","CA","Fresno",57,74,143,182,46,5
"98","CA","Humboldt",7,9,4,7,7,NA
"99","CA","Imperial",3,1,3,2,3,NA
"100","CA","Kern",35,36,25,34,28,1
"101","CA","Los Angeles",989,1235,1154,1034,960,63
"102","CA","Madera",7,2,1,8,2,NA
"103","CA","Marin",45,60,53,63,49,NA
"104","CA","Merced",5,NA,NA,1,NA,NA
"105","CA","Modoc",9,10,10,9,8,NA
"106","CA","Monterey",6,3,6,8,4,NA
"107","CA","Nevada",1,3,NA,1,NA,NA
"108","CA","Orange",147,205,173,176,150,19
"109","CA","Placer",1,20,1,5,1,NA
"110","CA","Riverside",158,163,148,208,131,1
"111","CA","Sacramento",79,66,53,77,55,3
"112","CA","San Bernardino",91,74,117,120,82,7
"113","CA","San Diego",78,103,61,154,67,4
"114","CA","San Francisco",54,46,15,63,32,4
"115","CA","San Joaquin",104,175,145,137,118,NA
"116","CA","San Mateo",16,5,13,66,6,1
"117","CA","Santa Barbara",11,6,19,19,3,NA
