"","Provider.State","County","Provider.Name","WeeksofShortage_of_AD_by_Provider","WeeksofShortage_of_CS_by_Provider","WeeksofShortage_of_NS_by_Provider","WeeksofShortage_of_OS_by_Provider"
"1","AK","Anchorage","PROVIDENCE EXTENDED CARE",30,2,30,18
"2","AK","Anchorage","PROVIDENCE TRANSITIONAL CARE CENTER",24,2,23,19
"3","AK","Bethel","YUKON KUSKOKWIM ELDER'S HOME",1,NA,NA,NA
"4","AK","Cordova-Mccarthy","CORDOVA COMMUNITY MED LTC",16,NA,18,NA
"5","AK","Juneau","WILDFLOWER COURT",28,NA,NA,21
"6","AK","Kenai-Cook Inlet","HERITAGE PLACE",3,2,2,2
"7","AK","Kenai-Cook Inlet","SOUTH PENINSULA HOSPITAL LTC",26,2,11,5
"8","AK","Ketchikan","KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE",37,1,40,2
"9","AK","Kodiak Island Borough","PROVIDENCE KODIAK ISLAND MED LTC",8,NA,NA,NA
"10","AK","Matanuska-Susitna","MAPLE SPRINGS OF WASILLA",5,5,5,5
"11","AK","Nome","QUYANNA CARE CENTER",3,3,3,4
"12","AK","Seward","PROVIDENCE SEWARD MED & CARE CENTER LTC",2,2,5,2
"13","AK","Sitka","SEARHC SITKA LONG TERM CARE",5,NA,5,6
"14","AK","Valdez-Chitina-Whittier","PROVIDENCE VALDEZ MEDICAL CENTER",2,1,1,1
"15","AK","Wrangell-Petersburg","PETERSBURG MEDICAL CENTER LTC",3,NA,3,2
"16","AK","Wrangell-Petersburg","WRANGELL MEDICAL CENTER LTC",11,1,1,12
"17","AL","Baldwin","DIVERSICARE OF FOLEY",43,2,30,30
"18","AL","Baldwin","EASTERN SHORE REHABILITATION AND HEALTH CENTER",43,NA,34,NA
"19","AL","Baldwin","FAIRHOPE HEALTH & REHAB",12,7,9,8
"20","AL","Baldwin","MONTROSE BAY HEALTH AND REHAB",2,2,2,2
"21","AL","Baldwin","OAKWOOD-NORTH BALDWIN'S CENTER FOR LIVING",27,NA,27,NA
"22","AL","Baldwin","ROBERTSDALE REHABILITATION & HEALTHCARE CTR",41,31,41,34
"23","AL","Barbour","CROWNE HEALTH CARE OF EUFAULA",43,NA,43,43
"24","AL","Blount","DIVERSICARE OF ONEONTA",1,1,2,1
"25","AL","Butler","CROWNE HEALTH CARE OF GREENVILLE",16,3,3,3
"26","AL","Calhoun","ANNISTON HEALTH AND REHAB SERVICES",2,2,2,2
"27","AL","Calhoun","DIVERSICARE OF OXFORD",31,8,26,23
"28","AL","Calhoun","NHC HEALTHCARE, ANNISTON",20,4,25,17
"29","AL","Calhoun","PIEDMONT HEALTH CARE CENTER",3,NA,3,1
"30","AL","Chambers","DIVERSICARE OF LANETT",41,1,41,41
"31","AL","Chambers","LAFAYETTE EXTENDED CARE",34,4,39,18
"32","AL","Chambers","LAFAYETTE NURSING HOME",9,1,2,NA
"33","AL","Cherokee","CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER",39,3,42,30
"34","AL","Chilton","HATLEY HEALTH CARE INC",5,2,5,5
"35","AL","Choctaw","CHOCTAW HEALTH AND REHAB",19,1,25,4
"36","AL","Clarke","CROWNE HEALTH CARE OF THOMASVILLE",43,NA,41,NA
"37","AL","Clay","CLAY COUNTY NURSING HOME",8,NA,9,NA
"38","AL","Coffee","ELBA NURSING AND REHABILITATION CENTER, LLC",4,NA,4,NA
"39","AL","Coffee","ENTERPRISE HEALTH & REHABILITATION CENTER",16,1,9,1
"40","AL","Conecuh","EVERGREEN NURSING HOME",30,1,4,1
"41","AL","Coosa","GOODWATER HEALTHCARE CENTER",25,1,12,30
"42","AL","Covington","ANDALUSIA MANOR",1,1,1,1
"43","AL","Cullman","CULLMAN HEALTH CARE CENTER",1,1,1,1
"44","AL","Cullman","FOLSOM CENTER FOR REHABILITATION AND HEALTHCARE, T",1,NA,1,NA
"45","AL","Cullman","SANCTUARY AT THE WOODLANDS",39,8,40,38
"46","AL","Cullman","WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN",1,1,1,1
"47","AL","Dale","OAKVIEW MANOR HEALTH CARE CENTER",2,1,1,1
"48","AL","Dallas","LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER",24,1,24,1
"49","AL","Dallas","PARK PLACE",28,NA,36,3
"50","AL","DeKalb","CROWNE HEALTH CARE OF FT PAYNE",35,4,35,28
"51","AL","Elmore","WETUMPKA HEALTH AND REHABILITATION, LLC",1,NA,NA,1
"52","AL","Escambia","ATMORE NURSING CENTER",30,1,26,31
"53","AL","Escambia","WEST GATE VILLAGE",42,1,42,42
"54","AL","Etowah","ALTOONA  HEALTH & REHAB",1,1,1,1
"55","AL","Etowah","ATTALLA HEALTH AND REHAB",1,1,1,1
"56","AL","Fayette","FAYETTE MEDICAL CENTER LONG TERM CARE UNIT",31,NA,33,NA
"57","AL","Franklin","GENERATIONS OF RED BAY, LLC",19,2,17,9
"58","AL","Franklin","RUSSELLVILLE HEALTH CARE INC",41,1,35,4
"59","AL","Geneva","HARTFORD HEALTH CARE",4,1,3,3
"60","AL","Geneva","WIREGRASS REHABILITATION CENTER & NURSING HOME",8,1,42,3
"61","AL","Greene","GREENE COUNTY NURSING HOME",29,1,41,6
"62","AL","Hale","COLONIAL HAVEN CARE & REHABILITATION CENTER",40,6,37,37
"63","AL","Henry","HENRY COUNTY HEALTH AND REHABILITATION FACILITY",43,5,43,30
"64","AL","Houston","EXTENDICARE HEALTH CENTER",23,1,8,3
"65","AL","Houston","WESLEY PLACE ON HONEYSUCKLE",5,NA,2,4
"66","AL","Houston","WESTSIDE TERRACE HEALTH & REHABILITATION CENTER",2,1,1,1
