"","Provider.State","County","Provider.Name","WeeksofShortage_of_EP_by_Provider","WeeksofShortage_of_GL_by_Provider","WeeksofShortage_of_HS_by_Provider","WeeksofShortage_of_N95_by_Provider","WeeksofShortage_of_SM_by_Provider","WeeksofShortage_of_VT_by_Provider"
"1","AK","Kenai-Cook Inlet","HERITAGE PLACE",1,1,1,21,1,NA
"2","AK","Matanuska-Susitna","MAPLE SPRINGS OF WASILLA",1,1,1,1,1,NA
"3","AK","Seward","PROVIDENCE SEWARD MED & CARE CENTER LTC",3,5,4,22,4,NA
"4","AL","Baldwin","EASTERN SHORE REHABILITATION AND HEALTH CENTER",18,6,4,29,22,NA
"5","AL","Baldwin","FAIRHOPE HEALTH & REHAB",1,1,1,1,1,NA
"6","AL","Baldwin","MONTROSE BAY HEALTH AND REHAB",5,1,3,9,2,NA
"7","AL","Baldwin","OAKWOOD-NORTH BALDWIN'S CENTER FOR LIVING",1,4,1,7,NA,NA
"8","AL","Baldwin","ROBERTSDALE REHABILITATION & HEALTHCARE CTR",1,5,3,4,NA,NA
"9","AL","Barbour","CROWNE HEALTH CARE OF EUFAULA",42,22,42,42,42,NA
"10","AL","Bibb","BIBB MED CENTER NURSING HOME",13,9,4,11,3,NA
"11","AL","Bullock","SOUTHERN SPRINGS HEALTHCARE FACILITY",1,1,1,1,2,NA
"12","AL","Butler","CROWNE HEALTH CARE OF GREENVILLE",2,1,1,3,1,NA
"13","AL","Chambers","EAMC LANIER NURSING HOME",4,1,1,17,16,NA
"14","AL","Chambers","LAFAYETTE EXTENDED CARE",1,NA,1,7,13,NA
"15","AL","Chambers","LAFAYETTE NURSING HOME",1,NA,NA,1,1,NA
"16","AL","Chilton","HATLEY HEALTH CARE INC",3,3,3,17,3,NA
"17","AL","Clarke","CROWNE HEALTH CARE OF THOMASVILLE",2,NA,6,2,1,NA
"18","AL","Clarke","JACKSON HEALTH CARE FACILITY",33,1,1,33,33,NA
"19","AL","Clay","CLAY COUNTY NURSING HOME",2,NA,NA,7,NA,NA
"20","AL","Coffee","ELBA NURSING AND REHABILITATION CENTER, LLC",9,11,9,11,9,NA
"21","AL","Colbert","COTTAGE OF THE SHOALS",20,1,1,28,20,NA
"22","AL","Colbert","CYPRESS COVE CARE CENTER",20,NA,NA,28,20,NA
"23","AL","Colbert","KELLER LANDING",20,1,1,28,21,NA
"24","AL","Conecuh","EVERGREEN NURSING HOME",14,15,12,17,15,NA
"25","AL","Coosa","GOODWATER HEALTHCARE CENTER",1,1,1,3,1,NA
"26","AL","Cullman","FOLSOM CENTER FOR REHABILITATION AND HEALTHCARE, T",2,NA,NA,NA,NA,NA
"27","AL","DeKalb","COLLINSVILLE HEALTHCARE & REHAB",9,2,2,22,21,NA
"28","AL","Elmore","CHARLTON PLACE REHAB AND HEALTHCARE CENTER",2,NA,NA,2,2,NA
"29","AL","Elmore","MERRY WOOD LODGE",20,4,3,29,21,NA
"30","AL","Escambia","ATMORE NURSING CENTER",5,1,1,15,7,NA
