Provider State,County,NursingHomes_by_County
AK,Anchorage,3
AK,Bethel,1
AK,Cordova-Mccarthy,1
AK,Fairbanks,1
AK,Juneau,1
AK,Kenai-Cook Inlet,2
AK,Ketchikan,1
AK,Kodiak Island Borough,1
AK,Matanuska-Susitna,2
AK,Nome,1
AK,Not Available,1
AK,Seward,1
AK,Sitka,1
AK,Valdez-Chitina-Whittier,1
AK,Wrangell-Petersburg,2
AL,Autauga,1
AL,Baldwin,7
AL,Barbour,1
AL,Bibb,1
AL,Blount,2
AL,Bullock,1
AL,Butler,2
AL,Calhoun,5
AL,Chambers,4
AL,Cherokee,1
AL,Chilton,1
AL,Choctaw,1
AL,Clarke,2
AL,Clay,2
AL,Cleburne,1
AL,Coffee,2
AL,Colbert,3
AL,Conecuh,1
AL,Coosa,1
AL,Covington,3
AL,Crenshaw,1
AL,Cullman,5
AL,Dale,2
AL,Dallas,3
AL,DeKalb,3
AL,Elmore,4
AL,Escambia,2
AL,Etowah,6
AL,Fayette,1
AL,Franklin,4
AL,Geneva,2
AL,Greene,1
AL,Hale,2
AL,Henry,1
AL,Houston,3
AL,Jackson,3
AL,Jefferson,34
AL,Lamar,1
AL,Lauderdale,5
AL,Lawrence,1
AL,Lee,3
AL,Limestone,2
AL,Lowndes,1
AL,Macon,1
AL,Madison,12
AL,Marengo,2
AL,Marion,3
AL,Marshall,5
AL,Mobile,18
AL,Monroe,2
AL,Montgomery,10
AL,Morgan,4
AL,Perry,2
AL,Pickens,2
AL,Pike,1
AL,Randolph,2
AL,Russell,3
AL,Shelby,3
AL,St. Clair,4
AL,Sumter,1
AL,Talladega,3
AL,Tallapoosa,4
AL,Tuscaloosa,6
AL,Walker,5
AL,Washington,1
AL,Wilcox,1
AL,Winston,2
AR,Arkansas,3
AR,Ashley,2
AR,Baxter,4
AR,Benton,11
AR,Boone,3
AR,Bradley,1
AR,Carroll,2
AR,Chicot,2
AR,Clark,2
AR,Clay,3
AR,Cleburne,2
AR,Cleveland,1
AR,Columbia,3
AR,Conway,2
AR,Craighead,6
AR,Crawford,4
AR,Crittenden,3
AR,Cross,2
AR,Dallas,1
AR,Desha,1
AR,Drew,2
AR,Faulkner,6
AR,Franklin,2
AR,Fulton,1
AR,Garland,9
AR,Grant,1
AR,Greene,2
AR,Hempstead,1
AR,Hot Spring,3
AR,Howard,3
AR,Independence,3
AR,Izard,2
AR,Jackson,2
AR,Jefferson,5
AR,Johnson,1
AR,Lafayette,1
AR,Lawrence,2
AR,Lee,1
AR,Lincoln,2
AR,Little River,2
AR,Logan,2
AR,Lonoke,7
AR,Madison,1
AR,Marion,2
AR,Miller,3
AR,Mississippi,4
AR,Monroe,1
AR,Montgomery,1
AR,Nevada,2
AR,Newton,1
AR,Ouachita,4
AR,Perry,1
AR,Phillips,1
AR,Pike,2
AR,Poinsett,3
AR,Polk,1
AR,Pope,4
AR,Prairie,2
AR,Pulaski,23
AR,Randolph,2
AR,Saline,6
AR,Scott,1
AR,Searcy,1
AR,Sebastian,8
AR,Sevier,1
AR,Sharp,3
AR,St. Francis,1
AR,Stone,1
AR,Union,5
AR,Van Buren,2
AR,Washington,12
AR,White,4
AR,Woodruff,1
AR,Yell,2
AZ,Apache,1
AZ,Cochise,4
AZ,Coconino,4
AZ,Gila,4
AZ,Graham,1
AZ,Maricopa,82
AZ,Mohave,7
AZ,Navajo,3
AZ,Pima,25
AZ,Pinal,3
AZ,Yavapai,7
AZ,Yuma,5
CA,Alameda,72
CA,Amador,1
CA,Butte,9
CA,Calaveras,1
CA,Colusa,2
CA,Contra Costa,29
CA,Del Norte,1
CA,El Dorado,5
CA,Fresno,31
CA,Glenn,1
CA,Humboldt,5
CA,Imperial,3
CA,Inyo,2
CA,Kern,18
CA,Kings,3
CA,Lake,3
CA,Lassen,1
CA,Los Angeles,381
CA,Madera,5
CA,Marin,12
CA,Mariposa,1
CA,Mendocino,4
CA,Merced,10
CA,Modoc,2
CA,Monterey,14
CA,Napa,6
CA,Nevada,5
CA,Orange,74
CA,Placer,10
CA,Plumas,2
